Deal Status,Customer ID,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,PT Status,PT Serial ,Encore Serial,Moving,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,101726 ,Truck,2023,579 Sleeper Truck,855486,  Available,68.33%,1x passtime,Driving disabled,Enabled,66762231,82190469,1,2025-12-05 09:27:00,TX,Terrell, 75161,35.057052,-96.244518
ACTIVE,107759 ,Truck,2022,Cascadia PT126SLP,NE7518,  Available,86.36%,2x encores,"1x discharged
1x never installed",Enabled,26317444,82152780,1,2025-12-04 22:25:00,LA,Lela, 79079,35.226762,-100.32775
ACTIVE,108129 ,Trailer,2022,DVHDHPC 53',264779,  Out for Repo,66.57%,All,2x uninstalled,"",,84230110,-1,2025-12-05 01:12:00,CA,San Bernardino County, 92407,34.169125,-117.305093
